"Epochs","Supervised","All Views","Disease Counterfactuals","Scanner Counterfactuals","Rotation","Crop","Effects","DICE","DICE (pe)","DICE (nf)","Output Directory (pretraining)","Output Directory (transfer)","WandB URL (pretraining)","WandB URL (transfer)"
20.0,True,False,False,False,False,True,False,0.9388558268547058,0.9251870155334472,0.9765803694725036,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_two_none_random_abl_data.train.augmentation.crop/2025-08-19_18-13-08","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_two_none_random_abl_data.train.augmentation.crop/2025-08-19_18-13-08","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/d0bk3r34","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/oyfr9zkf"
20.0,True,True,True,False,True,True,True,0.9394911289215088,0.9249831318855286,0.9779264807701112,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_noflip_random/2025-08-29_14-52-09","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_noflip_random/2025-08-29_14-52-09","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/u1q0amm9","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/duealx23"
20.0,True,True,True,True,True,True,True,0.9393234968185424,0.924315083026886,0.977483892440796,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_noflip_random/2025-08-14_16-59-09","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_noflip_random/2025-08-14_16-59-09","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/io302d7y","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/fpvfudnu"
20.0,True,True,False,False,False,True,False,0.9385968208312988,0.9239076495170592,0.977516520023346,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_all_none_random_abl_data.train.augmentation.crop/2025-08-15_10-35-26","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_all_none_random_abl_data.train.augmentation.crop/2025-08-15_10-35-26","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/e4hzafrg","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/zvyz6g0e"
20.0,True,False,False,False,True,True,False,0.9380123734474182,0.9229425668716432,0.9768579006195068,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_two_noflip_random_abl_data.train.augmentation.jitter_data.train.augmentation.gaussian_blur_data.train.augmentation.solarize/2025-08-18_20-36-22","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_two_noflip_random_abl_data.train.augmentation.jitter_data.train.augmentation.gaussian_blur_data.train.augmentation.solarize/2025-08-18_20-36-22","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/0xgxzsvy","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/n85zchwe"
50.0,True,True,True,True,True,True,True,0.9380270600318908,0.9219987273216248,0.9786348342895508,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_all_noflip_random/2025-08-21_12-51-07","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_all_noflip_random/2025-08-21_12-51-07","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/wywsbzsn","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/651nu4mp"
20.0,True,False,True,True,False,False,True,0.9368939876556396,0.9216007590293884,0.9766971230506896,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_cf_dense_two_noflip_random_abl_data.train.augmentation.rotate_data.train.augmentation.crop/2025-08-21_12-49-30","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_cf_dense_two_noflip_random_abl_data.train.augmentation.rotate_data.train.augmentation.crop/2025-08-21_12-49-30","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/78lmy19y","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/u7cx6sfh"
20.0,True,False,False,False,False,True,True,0.9366408824920656,0.9208715200424196,0.9769355416297912,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_two_noflip_random_abl_data.train.augmentation.rotate/2025-08-18_20-36-22","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_two_noflip_random_abl_data.train.augmentation.rotate/2025-08-20_10-57-27","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/awxfosgf","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/ifkn9cex"
100.0,"","","","","","","",0.9364898324012756,0.9201737999916076,0.978058397769928,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/chexmask/2025-08-15_10-30-04","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/chexmask_downstream/2025-08-15_23-38-21","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/9d9hd9m6","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/58e6gmx4"
20.0,True,True,False,False,True,True,False,0.9360977292060852,0.919638729095459,0.9777333736419678,"/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/pretraining/supervised_nocf_dense_all_noflip_random_abl_data.train.augmentation.jitter_data.train.augmentation.gaussian_blur_data.train.augmentation.solarize/2025-08-14_17-59-37","/vol/biomedic3/bglocker/mscproj/mal224/DCCL/outputs/transfer/supervised_nocf_dense_all_noflip_random_abl_data.train.augmentation.jitter_data.train.augmentation.gaussian_blur_data.train.augmentation.solarize/2025-08-14_17-59-37","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/x2ez8qy0","https://wandb.ai/lafarguem-imperial-college-london/msc_project/runs/0mzqis3j"
